sdCd,sdNm,sggCd,sggNm,emdCd,emdNm
11,서울특별시,11110,종로구,1111010100,청운동
11,서울특별시,11110,종로구,1111010200,신교동
11,서울특별시,11110,종로구,1111010300,궁정동
11,서울특별시,11110,종로구,1111010400,효자동
11,서울특별시,11110,종로구,1111010500,창성동
11,서울특별시,11110,종로구,1111010600,통의동
11,서울특별시,11110,종로구,1111010700,적선동
11,서울특별시,11110,종로구,1111010800,통인동
11,서울특별시,11110,종로구,1111010900,누상동
11,서울특별시,11110,종로구,1111011000,누하동
11,서울특별시,11110,종로구,1111011100,옥인동
11,서울특별시,11110,종로구,1111011200,체부동
11,서울특별시,11110,종로구,1111011300,필운동
11,서울특별시,11110,종로구,1111011400,내자동
11,서울특별시,11110,종로구,1111011500,사직동
11,서울특별시,11110,종로구,1111011600,도렴동
11,서울특별시,11110,종로구,1111011700,당주동
11,서울특별시,11110,종로구,1111011800,내수동
11,서울특별시,11110,종로구,1111011900,세종로
11,서울특별시,11110,종로구,1111012000,신문로1가
11,서울특별시,11110,종로구,1111012100,신문로2가
11,서울특별시,11110,종로구,1111012200,청진동
11,서울특별시,11110,종로구,1111012300,서린동
11,서울특별시,11110,종로구,1111012400,수송동
11,서울특별시,11110,종로구,1111012500,중학동
11,서울특별시,11110,종로구,1111012600,종로1가
11,서울특별시,11110,종로구,1111012700,공평동
11,서울특별시,11110,종로구,1111012800,관훈동
11,서울특별시,11110,종로구,1111012900,견지동
11,서울특별시,11110,종로구,1111013000,와룡동
11,서울특별시,11110,종로구,1111013100,권농동
11,서울특별시,11110,종로구,1111013200,운니동
11,서울특별시,11110,종로구,1111013300,익선동
11,서울특별시,11110,종로구,1111013400,경운동
11,서울특별시,11110,종로구,1111013500,관철동
11,서울특별시,11110,종로구,1111013600,인사동
11,서울특별시,11110,종로구,1111013700,낙원동
11,서울특별시,11110,종로구,1111013800,종로2가
11,서울특별시,11110,종로구,1111013900,팔판동
11,서울특별시,11110,종로구,1111014000,삼청동
11,서울특별시,11110,종로구,1111014100,안국동
11,서울특별시,11110,종로구,1111014200,소격동
11,서울특별시,11110,종로구,1111014300,화동
11,서울특별시,11110,종로구,1111014400,사간동
11,서울특별시,11110,종로구,1111014500,송현동
11,서울특별시,11110,종로구,1111014600,가회동
11,서울특별시,11110,종로구,1111014700,재동
11,서울특별시,11110,종로구,1111014800,계동
11,서울특별시,11110,종로구,1111014900,원서동
11,서울특별시,11110,종로구,1111015000,훈정동
11,서울특별시,11110,종로구,1111015100,묘동
11,서울특별시,11110,종로구,1111015200,봉익동
11,서울특별시,11110,종로구,1111015300,돈의동
11,서울특별시,11110,종로구,1111015400,장사동
11,서울특별시,11110,종로구,1111015500,관수동
11,서울특별시,11110,종로구,1111015600,종로3가
11,서울특별시,11110,종로구,1111015700,인의동
11,서울특별시,11110,종로구,1111015800,예지동
11,서울특별시,11110,종로구,1111015900,원남동
11,서울특별시,11110,종로구,1111016000,연지동
11,서울특별시,11110,종로구,1111016100,종로4가
11,서울특별시,11110,종로구,1111016200,효제동
11,서울특별시,11110,종로구,1111016300,종로5가
11,서울특별시,11110,종로구,1111016400,종로6가
11,서울특별시,11110,종로구,1111016500,이화동
11,서울특별시,11110,종로구,1111016600,연건동
11,서울특별시,11110,종로구,1111016700,충신동
11,서울특별시,11110,종로구,1111016800,동숭동
11,서울특별시,11110,종로구,1111016900,혜화동
11,서울특별시,11110,종로구,1111017000,명륜1가
11,서울특별시,11110,종로구,1111017100,명륜2가
11,서울특별시,11110,종로구,1111017200,명륜4가
11,서울특별시,11110,종로구,1111017300,명륜3가
11,서울특별시,11110,종로구,1111017400,창신동
11,서울특별시,11110,종로구,1111017500,숭인동
11,서울특별시,11110,종로구,1111017600,교남동
11,서울특별시,11110,종로구,1111017700,평동
11,서울특별시,11110,종로구,1111017800,송월동
11,서울특별시,11110,종로구,1111017900,홍파동
11,서울특별시,11110,종로구,1111018000,교북동
11,서울특별시,11110,종로구,1111018100,행촌동
11,서울특별시,11110,종로구,1111018200,구기동
11,서울특별시,11110,종로구,1111018300,평창동
11,서울특별시,11110,종로구,1111018400,부암동
11,서울특별시,11110,종로구,1111018500,홍지동
11,서울특별시,11110,종로구,1111018600,신영동
11,서울특별시,11110,종로구,1111018700,무악동
11,서울특별시,11110,종로구,1111090100,창신1동
11,서울특별시,11110,종로구,1111090200,창신2동
11,서울특별시,11110,종로구,1111090300,창신3동
11,서울특별시,11110,종로구,1111090400,숭인1동
11,서울특별시,11110,종로구,1111090500,숭인2동
11,서울특별시,11140,중구,1114000100,동자동
11,서울특별시,11140,중구,1114000200,도동1가
11,서울특별시,11140,중구,1114000300,도동2가
11,서울특별시,11140,중구,1114000400,양동
11,서울특별시,11140,중구,1114010100,무교동
11,서울특별시,11140,중구,1114010200,다동
11,서울특별시,11140,중구,1114010300,태평로1가
11,서울특별시,11140,중구,1114010400,을지로1가
11,서울특별시,11140,중구,1114010500,을지로2가
11,서울특별시,11140,중구,1114010600,남대문로1가
11,서울특별시,11140,중구,1114010700,삼각동
11,서울특별시,11140,중구,1114010800,수하동
11,서울특별시,11140,중구,1114010900,장교동
11,서울특별시,11140,중구,1114011000,수표동
11,서울특별시,11140,중구,1114011100,소공동
11,서울특별시,11140,중구,1114011200,남창동
11,서울특별시,11140,중구,1114011300,북창동
11,서울특별시,11140,중구,1114011400,태평로2가
11,서울특별시,11140,중구,1114011500,남대문로2가
11,서울특별시,11140,중구,1114011600,남대문로3가
11,서울특별시,11140,중구,1114011700,남대문로4가
11,서울특별시,11140,중구,1114011800,남대문로5가
11,서울특별시,11140,중구,1114011900,봉래동1가
11,서울특별시,11140,중구,1114012000,봉래동2가
11,서울특별시,11140,중구,1114012100,회현동1가
11,서울특별시,11140,중구,1114012200,회현동2가
11,서울특별시,11140,중구,1114012300,회현동3가
11,서울특별시,11140,중구,1114012400,충무로1가
11,서울특별시,11140,중구,1114012500,충무로2가
11,서울특별시,11140,중구,1114012600,명동1가
11,서울특별시,11140,중구,1114012700,명동2가
11,서울특별시,11140,중구,1114012800,남산동1가
11,서울특별시,11140,중구,1114012900,남산동2가
11,서울특별시,11140,중구,1114013000,남산동3가
11,서울특별시,11140,중구,1114013100,저동1가
11,서울특별시,11140,중구,1114013200,충무로4가
11,서울특별시,11140,중구,1114013300,충무로5가
11,서울특별시,11140,중구,1114013400,인현동2가
11,서울특별시,11140,중구,1114013500,예관동
11,서울특별시,11140,중구,1114013600,묵정동
11,서울특별시,11140,중구,1114013700,필동1가
11,서울특별시,11140,중구,1114013800,필동2가
11,서울특별시,11140,중구,1114013900,필동3가
11,서울특별시,11140,중구,1114014000,남학동
11,서울특별시,11140,중구,1114014100,주자동
11,서울특별시,11140,중구,1114014200,예장동
11,서울특별시,11140,중구,1114014300,장충동1가
11,서울특별시,11140,중구,1114014400,장충동2가
11,서울특별시,11140,중구,1114014500,광희동1가
11,서울특별시,11140,중구,1114014600,광희동2가
11,서울특별시,11140,중구,1114014700,쌍림동
11,서울특별시,11140,중구,1114014800,을지로6가
11,서울특별시,11140,중구,1114014900,을지로7가
11,서울특별시,11140,중구,1114015000,을지로4가
11,서울특별시,11140,중구,1114015100,을지로5가
11,서울특별시,11140,중구,1114015200,주교동
11,서울특별시,11140,중구,1114015300,방산동
11,서울특별시,11140,중구,1114015400,오장동
11,서울특별시,11140,중구,1114015500,을지로3가
11,서울특별시,11140,중구,1114015600,입정동
11,서울특별시,11140,중구,1114015700,산림동
11,서울특별시,11140,중구,1114015800,충무로3가
11,서울특별시,11140,중구,1114015900,초동
11,서울특별시,11140,중구,1114016000,인현동1가
11,서울특별시,11140,중구,1114016100,저동2가
11,서울특별시,11140,중구,1114016200,신당동
11,서울특별시,11140,중구,1114016300,흥인동
11,서울특별시,11140,중구,1114016400,무학동
11,서울특별시,11140,중구,1114016500,황학동
11,서울특별시,11140,중구,1114016600,서소문동
11,서울특별시,11140,중구,1114016700,정동
11,서울특별시,11140,중구,1114016800,순화동
11,서울특별시,11140,중구,1114016900,의주로1가
11,서울특별시,11140,중구,1114017000,충정로1가
11,서울특별시,11140,중구,1114017100,중림동
11,서울특별시,11140,중구,1114017200,의주로2가
11,서울특별시,11140,중구,1114017300,만리동1가
11,서울특별시,11140,중구,1114017400,만리동2가
11,서울특별시,11140,중구,1114090100,신당1동
11,서울특별시,11140,중구,1114090200,신당2동
11,서울특별시,11140,중구,1114090300,신당3동
11,서울특별시,11140,중구,1114090400,신당4동
11,서울특별시,11140,중구,1114090500,신당5동
11,서울특별시,11140,중구,1114090600,신당6동
11,서울특별시,11170,용산구,1117000100,옥수동
11,서울특별시,11170,용산구,1117000200,도동1가
